         13555 function calls (13332 primitive calls) in 10.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ttk.py:908(Panedwindow)
       18    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
        9    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 decoder.py:285(__init__)
       10    0.000    0.000    0.000    0.000 _compiler.py:403(_simple)
        7    0.000    0.000    0.000    0.000 enum.py:1393(_iter_member_by_value_)
       11    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       17    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 decoder.py:255(JSONDecoder)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 ttk.py:1481(LabeledScale)
       18    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:4055(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:3253(Listbox)
        2    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
        2    0.000    0.000    0.000    0.000 __init__.py:555(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3123(Entry)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        2    0.000    0.000    0.000    0.000 __init__.py:2565(grid_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:1103(winfo_children)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:4462(PanedWindow)
        1    0.000    0.000   10.582   10.582 __init__.py:1503(mainloop)
        3    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        1    0.000    0.000    0.000    0.000 app.py:336(_refresh_goals)
       11    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 commondialog.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1852(grid_columnconfigure)
        2    0.000    0.000    0.002    0.001 __init__.py:3126(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2559(Grid)
       21    0.000    0.000    0.000    0.000 _compiler.py:433(_get_iscased)
        9    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       37    0.000    0.000    0.000    0.000 enum.py:1184(__init__)
        2    0.000    0.000    0.001    0.000 __init__.py:3256(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 __init__.py:2321(Tk)
        1    0.000    0.000    0.001    0.001 app.py:178(save_quotes)
        1    0.000    0.000    0.000    0.000 app.py:181(save_movies)
        1    0.000    0.000    0.000    0.000 __init__.py:4260(Spinbox)
        7    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        2    0.000    0.000    0.000    0.000 __init__.py:3587(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:371(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:174(EventType)
        1    0.000    0.000    0.000    0.000 random.py:126(__init__)
        2    0.000    0.000    0.000    0.000 <frozen os>:795(decode)
        1    0.000    0.000    0.000    0.000 app.py:188(clear)
        5    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2717(Button)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        1    0.000    0.000    0.000    0.000 ttk.py:339(Style)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 __init__.py:2462(Pack)
        1    0.000    0.000    0.000    0.000 random.py:222(__init_subclass__)
        1    0.000    0.000    0.000    0.000 __init__.py:2239(wm_minsize)
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:4094(Image)
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        1    0.000    0.000    0.000    0.000 app.py:184(_ensure_data_dir)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:4240(BitmapImage)
        1    0.000    0.000    0.000    0.000 encoder.py:74(JSONEncoder)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 __init__.py:4156(PhotoImage)
        1    0.000    0.000    0.000    0.000 ttk.py:775(Notebook)
        1    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
        6    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3074(Checkbutton)
        6    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2508(Place)
        1    0.000    0.000    0.000    0.000 enum.py:528(__new__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
        1    0.000    0.000    0.000    0.000 commondialog.py:16(Dialog)
        1    0.000    0.000    0.000    0.000 random.py:876(SystemRandom)
        1    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(get_filename)
        1    0.000    0.000    0.000    0.000 ttk.py:1577(OptionMenu)
        1    0.000    0.000    0.000    0.000 ttk.py:503(Widget)
        5    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:3584(Scrollbar)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1280(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:990(create_module)
        1    0.000    0.000    0.000    0.000 __init__.py:2614(BaseWidget)
        6    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
